TSN|Scientific Name|Author|Rank Name|Credibility|Name Usage|Accepted TSN|Accepted Name
173685|Eurycea bislineata|(Green, 1818)|Species        |Reviewed|valid||
173685|Eurycea bislineata|(Green, 1818)|Species        |Reviewed|valid||
550246|Eurycea cirrigera|(Green, 1831)|Species        |Reviewed|valid||
208310|Eurycea longicauda longicauda|(Green, 1818)|Subspecies     |Reviewed|invalid|173687|Eurycea longicauda
208310|Eurycea longicauda longicauda|(Green, 1818)|Subspecies     |Reviewed|invalid|173687|Eurycea longicauda
774372|Exerodonta catracha|(Porras and Wilson, 1987)|Species        |Reviewed|valid||
774372|Exerodonta catracha|(Porras and Wilson, 1987)|Species        |Reviewed|valid||
165658|Fundulus zebrinus|Jordan and Gilbert, 1883|Species        |Reviewed|valid||
165658|Fundulus zebrinus|Jordan and Gilbert, 1883|Species        |Reviewed|valid||
165878|Gambusia affinis|(Baird and Girard, 1853)|Species        |Reviewed|valid||
165878|Gambusia affinis|(Baird and Girard, 1853)|Species        |Reviewed|valid||
165878|Gambusia affinis|(Baird and Girard, 1853)|Species        |Reviewed|valid||
165878|Gambusia affinis|(Baird and Girard, 1853)|Species        |Reviewed|valid||
165878|Gambusia affinis|(Baird and Girard, 1853)|Species        |Reviewed|valid||
165878|Gambusia affinis|(Baird and Girard, 1853)|Species        |Reviewed|valid||
173467|Gastrophryne carolinensis|(Holbrook, 1835)|Species        |Reviewed|valid||
173468|Gastrophryne olivacea|(Hallowell, 1856)|Species        |Reviewed|valid||
173468|Gastrophryne olivacea|(Hallowell, 1856)|Species        |Reviewed|valid||
173468|Gastrophryne olivacea|(Hallowell, 1856)|Species        |Reviewed|valid||
173468|Gastrophryne olivacea|(Hallowell, 1856)|Species        |Reviewed|valid||
173468|Gastrophryne olivacea|(Hallowell, 1856)|Species        |Reviewed|valid||
178944|Geothlypis trichas|(Linnaeus, 1766)|Species        |Reviewed|valid||
647314|Girardinichthys multiradiatus|(Meek, 1904)|Species        |Reviewed|valid||
637417|Gobiomorus maculatus|(Günther, 1859)|Species        |Reviewed|valid||
173715|Gyrinophilus porphyriticus|(Green, 1827)|Species        |Reviewed|valid||
|Herichthys cyanoguttatus|||||
163565|Hesperoleucus symmetricus|(Baird and Girard in Girard, 1854)|Species        |Reviewed|valid||
173927|Holbrookia maculata|Girard, 1851|Species        |Reviewed|valid||
173720|Hydromantes platycephalus|(Camp, 1916)|Species        |Reviewed|valid||
586307|Hypopachus barberi|Schmidt, 1939|Species        |Reviewed|valid||
773570|Incilius cristatus|(Wiegmann, 1833)|Species        |Reviewed|valid||
773570|Incilius cristatus|(Wiegmann, 1833)|Species        |Reviewed|valid||
773581|Incilius mazatlanensis|(Taylor, 1940)|Species        |Reviewed|valid||
773583|Incilius nebulifer|(Girard, 1854)|Species        |Reviewed|valid||
773584|Incilius occidentalis|(Camerano, 1879)|Species        |Reviewed|valid||
773594|Incilius valliceps|(Wiegmann, 1833)|Species        |Reviewed|valid||
773594|Incilius valliceps|(Wiegmann, 1833)|Species        |Reviewed|valid||
773594|Incilius valliceps|(Wiegmann, 1833)|Species        |Reviewed|valid||
1099997|Isthmura bellii|(Gray, 1850)|Species        |Reviewed|valid||
1099997|Isthmura bellii|(Gray, 1850)|Species        |Reviewed|valid||
1099997|Isthmura bellii|(Gray, 1850)|Species        |Reviewed|valid||
179417|Junco hyemalis oreganus|(J. K. Townsend, 1837)|Subspecies     |Reviewed|valid||
168132|Lepomis cyanellus|Rafinesque, 1819|Species        |Reviewed|valid||
168153|Lepomis megalotis|(Rafinesque, 1820)|Species        |Reviewed|valid||
207765|Leptodactylus melanonotus|(Hallowell, 1861)|Species        |Reviewed|valid||
207765|Leptodactylus melanonotus|(Hallowell, 1861)|Species        |Reviewed|valid||
180112|Lepus americanus|Erxleben, 1777|Species        |Reviewed|valid||
|Rana berlanderi|||||
|Rana berlanderi|||||
775079|Lithobates berlandieri|(Baird, 1859)|Species        |Reviewed|valid||
775079|Lithobates berlandieri|(Baird, 1859)|Species        |Reviewed|valid||
173448|Rana blairi|Mecham, Littlejohn, Oldham, Brown and Brown, 1973|Species        |Reviewed|invalid|775080|Lithobates blairi
173441|Rana catesbeiana|Shaw, 1802|Species        |Reviewed|invalid|775084|Lithobates catesbeianus
173441|Rana catesbeiana|Shaw, 1802|Species        |Reviewed|invalid|775084|Lithobates catesbeianus
173441|Rana catesbeiana|Shaw, 1802|Species        |Reviewed|invalid|775084|Lithobates catesbeianus
173441|Rana catesbeiana|Shaw, 1802|Species        |Reviewed|invalid|775084|Lithobates catesbeianus
775084|Lithobates catesbeianus|(Shaw, 1802)|Species        |Reviewed|valid||
775084|Lithobates catesbeianus|(Shaw, 1802)|Species        |Reviewed|valid||
775084|Lithobates catesbeianus|(Shaw, 1802)|Species        |Reviewed|valid||
775084|Lithobates catesbeianus|(Shaw, 1802)|Species        |Reviewed|valid||
775084|Lithobates catesbeianus|(Shaw, 1802)|Species        |Reviewed|valid||
775084|Lithobates catesbeianus|(Shaw, 1802)|Species        |Reviewed|valid||
775084|Lithobates catesbeianus|(Shaw, 1802)|Species        |Reviewed|valid||
775084|Lithobates catesbeianus|(Shaw, 1802)|Species        |Reviewed|valid||
775084|Lithobates catesbeianus|(Shaw, 1802)|Species        |Reviewed|valid||
775084|Lithobates catesbeianus|(Shaw, 1802)|Species        |Reviewed|valid||
