Prey Highest,Prey Higher,Prey Phylum,Prey Class,Prey Order,Prey Family,Prey Genus,Prey Species,Prey Species Current,Prey Species ID #,Prey Count,Snake Species,Snake Subspecies,FullSpName,Snake Species ID #,Snake Age Class,Snake SVL(mm),Snake Sex,Location,Latitude,Longitude,Citation,Full Citation,Reference DOI
Fish,Fish,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,Oncorhynchus mykiss,ITIS:161989,43,Thamnophis couchii,,Thamnophis couchii,ITIS:1084830,juvenile,341,,"Hurdygurdy Creek, Del Norte County, California",,,Lind 1990,"Lind, Amy J. Ontogenetic changes in the foraging behavior, habitat use and food habits of the western aquatic garter snake, Thamnophis couchii, at Hurdygurdy Creek, Del Norte County, California. MS thesis. Humboldt State University, 1990.",
Amphibian ,Frog Tadpoles,Chordata,Amphibia,Anura,Ranidae,Rana,Rana boylii,Rana boylii,ITIS:173449,4,Thamnophis couchii,,Thamnophis couchii,ITIS:1084830,Adult,537,,"Hurdygurdy Creek, Del Norte County, California",,,Lind 1990,"Lind, Amy J. Ontogenetic changes in the foraging behavior, habitat use and food habits of the western aquatic garter snake, Thamnophis couchii, at Hurdygurdy Creek, Del Norte County, California. MS thesis. Humboldt State University, 1990.",
Amphibian ,Frog Tadpoles,Chordata,Amphibia,Anura,Ranidae,Rana,Rana boylii,Rana boylii,ITIS:173449,6,Thamnophis couchii,,Thamnophis couchii,ITIS:1084830,juvenile,196,,"Hurdygurdy Creek, Del Norte County, California",,,Lind 1990,"Lind, Amy J. Ontogenetic changes in the foraging behavior, habitat use and food habits of the western aquatic garter snake, Thamnophis couchii, at Hurdygurdy Creek, Del Norte County, California. MS thesis. Humboldt State University, 1990.",
Amphibian ,Frog Tadpoles,Chordata,Amphibia,Anura,Ranidae,Rana,Rana boylii,Rana boylii,ITIS:173449,16,Thamnophis couchii,,Thamnophis couchii,ITIS:1084830,juvenile,341,,"Hurdygurdy Creek, Del Norte County, California",,,Lind 1990,"Lind, Amy J. Ontogenetic changes in the foraging behavior, habitat use and food habits of the western aquatic garter snake, Thamnophis couchii, at Hurdygurdy Creek, Del Norte County, California. MS thesis. Humboldt State University, 1990.",
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,Bufonidae,Incilius,Incilius mazatlanensis,Incilius mazatlanensis,ITIS:773581,1,Thamnophis cyrtopsis, cyrtopsis,Thamnophis cyrtopsis cyrtopsis,ITIS:209108,,,,"Guirocoba, , Sonora",29.69229,-110.81982,Zweifel etal 1955,"Zweifel, R. G., & Norris, K. S. (1955). Contribution to the Herpetology of Sonora, Mexico: Descriptions of New Subspecies of Snakes (Micruroides euryxanthus and Lampropeltis getulus) and Miscellaneous Collecting Notes. The American Midland Naturalist, 54(1), 230–249. https://doi.org/10.2307/2422190",https://doi.org/10.2307/2422190
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,Bufonidae,Incilius,Incilius occidentalis,Incilius occidentalis,ITIS:773584,1,Thamnophis cyrtopsis, collaris,Thamnophis cyrtopsis collaris,ITIS:563943,Adult,799,Female,"""El Charcote,"" 6 km SW of Zapotitlan Salinas, Zapotitlan, Puebla",18.33333,-97.43333,Abbadie-Bisogno et al 2003,"Abbadie-Bisogno, K, Oliver-Lopez, L., Ramierez-Bautista, A. THAMNOPHIS CYRTOPSIS COLLARIS (Black-Necked Garter Snake). DIET. 2003. Herpetological Review 34(1): 74-74",
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,Microhylidae,Gastrophryne,Gastrophryne olivacea,Gastrophryne olivacea,ITIS:173468,3,Thamnophis cyrtopsis, cyrtopsis,Thamnophis cyrtopsis cyrtopsis,ITIS:209108,,,,"Yecora, Sonora",28.36778,-108.92572,Smith et al 2005,"Smith, H., Lemos-Espinal, J. Chiszar, D. GASTROPHRYNE OLIVACEA (Great Plains Narrow-mouthed Toad). PREDATION. 2005. Herpetological Review 36(3): 300-300",
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus punctatus,Anaxyrus punctatus,ITIS:773527,2,Thamnophis cyrtopsis, cyrtopsis,Thamnophis cyrtopsis cyrtopsis,ITIS:209108,,,,"Santa Cruz County, Arizona",31.46,-111.249,Meik et al 2007,"Meik, J., Mocino-Deloya, E., Sester, K. BUFO PUNCTATUS (Red-spotted Toad). PREDATION. 2007. Herpetological Review 38(2): 180-180",
Amphibian ,Frog Tadpole,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,ITIS:773230,1,Thamnophis cyrtopsis, collaris,Thamnophis cyrtopsis collaris,ITIS:563943,Juvenile,165,,"Chinipas, Chihuahua",27.39164,-108.53603,Schulte et al 2007,"Schulte, J., Smith, G., Lemos-Espinal, J., Smith, H. THAMNOPHIS CYRTOPSIS COLLARIS (Black-necked Gartersnake). DIET AND BROOD SIZE. 2007. Herpetological Review 38(4): 469-470",
Amphibian ,Frog Tadpole,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus punctatus,Anaxyrus punctatus,ITIS:773527,35,Thamnophis cyrtopsis, cyrtopsis,Thamnophis cyrtopsis cyrtopsis,ITIS:209108,Juvenile,165,,"Blackwater Canyon, Peloncillo Mountains, Hidalgo County, New Mexico",31.50775,-109.01025,Stone and Day 2011,"Stone, P. and Ligon, D. BUFO PUNCTATUS (Red-spotted Toad) and THAMNOPHIS CYRTOPSIS (Black-necked Garter Snake). PREY-PREDATOR. 2011. Herpetological Review 42(1): 82-83",
