Prey Highest,Prey Higher,Prey Phylum,Prey Class,Prey Order,Prey Family,Prey Genus,Prey Species,Prey Species Current,Prey Species ID #,Prey Count,Snake Species,Snake Subspecies,FullSpName,Snake Species ID #,Snake Age Class,Snake SVL(mm),Snake Sex,Location,Latitude,Longitude,Citation,Full Citation,Reference DOI
Fish,Fish,Chordata,Actinopterygii,Cypriniformes,Catostomidae,Catostomus,Catostomus insignis,Catostomus insignis,ITIS:163905,3,Thamnophis rufipunctatus,,Thamnophis rufipunctatus,ITIS:174148,,,,United States,33.246,-108.88233,Hibbits et al 2009,"Hibbitts, T. J., Painter, C. W., & Holycross, A. T. (2009). ECOLOGY OF A POPULATION OF THE NARROW-HEADED GARTER SNAKE (THAMNOPHIS RUFIPUNCTATUS) IN NEW MEXICO: CATASTROPHIC DECLINE OF A RIVER SPECIALIST. The Southwestern Naturalist, 54(4), 461–467. http://www.jstor.org/stable/40588580",https://doi.org/10.1894/GC-195.1
Fish,Fish,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Cyprinella,Cyprinella lutrensis,Cyprinella lutrensis,ITIS:163792,1,Thamnophis rufipunctatus,,Thamnophis rufipunctatus,ITIS:174148,,,,United States,33.246,-108.88233,Hibbits et al 2009,"Hibbitts, T. J., Painter, C. W., & Holycross, A. T. (2009). ECOLOGY OF A POPULATION OF THE NARROW-HEADED GARTER SNAKE (THAMNOPHIS RUFIPUNCTATUS) IN NEW MEXICO: CATASTROPHIC DECLINE OF A RIVER SPECIALIST. The Southwestern Naturalist, 54(4), 461–467. http://www.jstor.org/stable/40588580",https://doi.org/10.1894/GC-195.1
Fish,Fish,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia affinis,Gambusia affinis,ITIS:165878,21,Thamnophis rufipunctatus,,Thamnophis rufipunctatus,ITIS:174148,,,,United States,33.246,-108.88233,Hibbits et al 2009,"Hibbitts, T. J., Painter, C. W., & Holycross, A. T. (2009). ECOLOGY OF A POPULATION OF THE NARROW-HEADED GARTER SNAKE (THAMNOPHIS RUFIPUNCTATUS) IN NEW MEXICO: CATASTROPHIC DECLINE OF A RIVER SPECIALIST. The Southwestern Naturalist, 54(4), 461–467. http://www.jstor.org/stable/40588580",https://doi.org/10.1894/GC-195.1
Fish,Fish,Chordata,Actinopterygii,,,,,,ITIS:161061,2,Thamnophis rufipunctatus,,Thamnophis rufipunctatus,ITIS:174148,,,,United States,33.246,-108.88233,Hibbits et al 2009,"Hibbitts, T. J., Painter, C. W., & Holycross, A. T. (2009). ECOLOGY OF A POPULATION OF THE NARROW-HEADED GARTER SNAKE (THAMNOPHIS RUFIPUNCTATUS) IN NEW MEXICO: CATASTROPHIC DECLINE OF A RIVER SPECIALIST. The Southwestern Naturalist, 54(4), 461–467. http://www.jstor.org/stable/40588580",https://doi.org/10.1894/GC-195.1
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla cinerea,Dryophytes cinereus,ITIS:1095381,1,Thamnophis sauritus, sackenii,Thamnophis sauritus sackenii,ITIS:1085118,,412,Female,United States,28.64711,-82.4828,Bishop and Farrell 1994,"Bishop, L. and Farrell, T. THAMNOPHIS SAURITUS SACKENII (Peninsula Ribbon Snake). BEHAVIOR. 1994. Herpetological Review 25(3): 127-127",
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,Hylidae,Osteopilus,Osteopilus septentrionalis,Osteopilus septentrionalis,ITIS:173538,1,Thamnophis sauritus, sackenii,Thamnophis sauritus sackenii,ITIS:1085118,,,,United States,26.71562,-81.56969,Love 1995,"Love, W. OSTEOPILUS SEPTENTRIONALIS (Cuban Treefrog). PREDATION. 1995. Herpetological Review 26(4): 201-202",
Amphibian ,Salamander Adult,Chordata,Amphibia,Urodela,Ambystomatidae,Ambystoma,Ambystoma talpoideum,Ambystoma talpoideum,ITIS:173604,2,Thamnophis sauritus, sauritus,Thamnophis sauritus sauritus,ITIS:1085119,,383,,United States,32.44206,-85.65817,Greene and Boback 2003,"Greene, M. and Boback, S. THAMNOPHIS SAURITUS SAURITUS (Eastern Ribbon Snake). DIET. 2003. Herpetological Review 34(2): 159-159",
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,Microhylidae,Gastrophryne,Gastrophryne carolinensis,Gastrophryne carolinensis,ITIS:173467,1,Thamnophis sauritus, sauritus,Thamnophis sauritus sauritus,ITIS:1085119,Adult,499,Female,United States,33.91805,-80.89994,Luhring and Ross 2012,"Luhring, T., Ross, Z. GASTROPHRYNE CAROLINENSIS (Eastern Narrow-mouthed Toad). PREDATION. 2012. Herpetological Review 43(1): 118-118",
Invertebrate,Spider,Arthropoda,Arachnida,Araneae,Lycosidae,,,,ITIS:847731,1,Thamnophis sauritus, sauritus,Thamnophis sauritus sauritus,ITIS:1085119,,,,"Fort Benning, GA, USA",32.35237,-84.96882,Hamilton and Pollack 1956,"Hamilton, W. J., Pollack, J. A. (1956). Food of some colubrid snakes from Fort Benning, Georgia. Ecology 37(3): 519-526",https://doi.org/10.2307/1930174
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Hylidae,Acris,Acris gryllus,Acris gryllus,ITIS:173518,3,Thamnophis sauritus, sauritus,Thamnophis sauritus sauritus,ITIS:1085119,,,,"Ashe, Brunswick, Cabarrus, Jones, and Mecklenburg Counties, NC",,,Brown 1979a,"Brown E.E. 1979a. Some snake food records from the Carolinas. Brimleyana, 1: 113–124.",
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,Hylidae,Acris,Acris gryllus,Acris gryllus,ITIS:173518,3,Thamnophis sauritus, sauritus,Thamnophis sauritus sauritus,ITIS:1085119,,,,United States,35.54722,-79.39019,Brown 1979a,"Brown E.E. 1979a. Some snake food records from the Carolinas. Brimleyana, 1: 113–124.",
Amphibian,Salamander Adult,Chordata,Amphibia,Urodela,Plethodontidae,Desmognathus,Desmognathus fuscus,Desmognathus fuscus,ITIS:173633,2,Thamnophis sauritus, sauritus,Thamnophis sauritus sauritus,ITIS:1085119,,,,"Ashe, Brunswick, Cabarrus, Jones, and Mecklenburg Counties, NC",,,Brown 1979a,"Brown E.E. 1979a. Some snake food records from the Carolinas. Brimleyana, 1: 113–124.",
Amphibian ,Salamander Adult,Chordata,Amphibia,Urodela,Plethodontidae,Desmognathus,Desmognathus fuscus,Desmognathus fuscus,ITIS:173633,2,Thamnophis sauritus, sauritus,Thamnophis sauritus sauritus,ITIS:1085119,,,,United States,35.54722,-79.39019,Brown 1979a,"Brown E.E. 1979a. Some snake food records from the Carolinas. Brimleyana, 1: 113–124.",
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla femoralis,Dryophytes femoralis,ITIS:1095454,3,Thamnophis sauritus, sauritus,Thamnophis sauritus sauritus,ITIS:1085119,,,,"Ashe, Brunswick, Cabarrus, Jones, and Mecklenburg Counties, NC",,,Brown 1979a,"Brown E.E. 1979a. Some snake food records from the Carolinas. Brimleyana, 1: 113–124.",
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla femoralis,Dryophytes femoralis,ITIS:1095454,2,Thamnophis sauritus, sauritus,Thamnophis sauritus sauritus,ITIS:1085119,,,,United States,35.54722,-79.39019,Brown 1979a,"Brown E.E. 1979a. Some snake food records from the Carolinas. Brimleyana, 1: 113–124.",
Amphibian,Salamander Adult,Chordata,Amphibia,Urodela,Plethodontidae,Eurycea,Eurycea bislineata,Eurycea bislineata,ITIS:173685,1,Thamnophis sauritus, sauritus,Thamnophis sauritus sauritus,ITIS:1085119,,,,"Ashe, Brunswick, Cabarrus, Jones, and Mecklenburg Counties, NC",,,Brown 1979a,"Brown E.E. 1979a. Some snake food records from the Carolinas. Brimleyana, 1: 113–124.",
Amphibian ,Salamander Adult,Chordata,Amphibia,Urodela,Plethodontidae,Eurycea,Eurycea bislineata,Eurycea bislineata,ITIS:173685,1,Thamnophis sauritus, sauritus,Thamnophis sauritus sauritus,ITIS:1085119,,,,United States,35.54722,-79.39019,Brown 1979a,"Brown E.E. 1979a. Some snake food records from the Carolinas. Brimleyana, 1: 113–124.",
Amphibian,Frog Tadpoles,Chordata,Amphibia,Anura,Ranidae,Rana,Rana catesbeiana,Lithobates catesbeianus,ITIS:775084,1,Thamnophis sauritus, sauritus,Thamnophis sauritus sauritus,ITIS:1085119,,,,"Ashe, Brunswick, Cabarrus, Jones, and Mecklenburg Counties, NC",,,Brown 1979a,"Brown E.E. 1979a. Some snake food records from the Carolinas. Brimleyana, 1: 113–124.",
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates catesbeianus,Lithobates catesbeianus,ITIS:775084,1,Thamnophis sauritus, sauritus,Thamnophis sauritus sauritus,ITIS:1085119,,,,United States,35.54722,-79.39019,Brown 1979a,"Brown E.E. 1979a. Some snake food records from the Carolinas. Brimleyana, 1: 113–124.",
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Hylidae,Pseudacris,Pseudacris brimleyi,Pseudacris brimleyi,ITIS:173524,1,Thamnophis sauritus, sauritus,Thamnophis sauritus sauritus,ITIS:1085119,,,,"Ashe, Brunswick, Cabarrus, Jones, and Mecklenburg Counties, NC",,,Brown 1979a,"Brown E.E. 1979a. Some snake food records from the Carolinas. Brimleyana, 1: 113–124.",
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,Hylidae,Pseudacris,Pseudacris brimleyi,Pseudacris brimleyi,ITIS:173524,1,Thamnophis sauritus, sauritus,Thamnophis sauritus sauritus,ITIS:1085119,,,,United States,35.54722,-79.39019,Brown 1979a,"Brown E.E. 1979a. Some snake food records from the Carolinas. Brimleyana, 1: 113–124.",
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,Hylidae,Pseudacris,Pseudacris feriarum,Pseudacris feriarum,ITIS:207307,2,Thamnophis sauritus, sauritus,Thamnophis sauritus sauritus,ITIS:1085119,,,,United States,35.54722,-79.39019,Brown 1979a,"Brown E.E. 1979a. Some snake food records from the Carolinas. Brimleyana, 1: 113–124.",
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Hylidae,Pseudacris,Pseudacris triseriata,Pseudacris triseriata,ITIS:173525,2,Thamnophis sauritus, sauritus,Thamnophis sauritus sauritus,ITIS:1085119,,,,"Ashe, Brunswick, Cabarrus, Jones, and Mecklenburg Counties, NC",,,Brown 1979a,"Brown E.E. 1979a. Some snake food records from the Carolinas. Brimleyana, 1: 113–124.",
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,,,ITIS:773227,1,Thamnophis sauritus, sauritus,Thamnophis sauritus sauritus,ITIS:1085119,,,,"Ashe, Brunswick, Cabarrus, Jones, and Mecklenburg Counties, NC",,,Brown 1979a,"Brown E.E. 1979a. Some snake food records from the Carolinas. Brimleyana, 1: 113–124.",
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,,,ITIS:773227,1,Thamnophis sauritus, sauritus,Thamnophis sauritus sauritus,ITIS:1085119,,,,United States,35.54722,-79.39019,Brown 1979a,"Brown E.E. 1979a. Some snake food records from the Carolinas. Brimleyana, 1: 113–124.",
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,Hylidae,Hyla,,,ITIS:173498,1,Thamnophis sauritus, sauritus,Thamnophis sauritus sauritus,ITIS:1085119,,,,United States,35.54722,-79.39019,Brown 1979a,"Brown E.E. 1979a. Some snake food records from the Carolinas. Brimleyana, 1: 113–124.",
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus americanus,Anaxyrus americanus,ITIS:773511,1,Thamnophis sauritus, septentrionalis,Thamnophis sauritus septentrionalis,ITIS:1085120,,,,"Douglas Lake, MI",,,Brown 1979b,Brown E.E. 1979b. Stray food records from New York and Michigan snakes. Am. Midl. Nat. 102(1): 200–203.,https://doi.org/10.2307/2425088
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Ranidae,Rana,Rana clamitans,Lithobates clamitans,ITIS:775087,1,Thamnophis sauritus, septentrionalis,Thamnophis sauritus septentrionalis,ITIS:1085120,,,,"Douglas Lake, MI",,,Brown 1979b,Brown E.E. 1979b. Stray food records from New York and Michigan snakes. Am. Midl. Nat. 102(1): 200–203.,https://doi.org/10.2307/2425088
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Ranidae,Rana,Rana palustris,Lithobates palustris,ITIS:775107,1,Thamnophis sauritus, septentrionalis,Thamnophis sauritus septentrionalis,ITIS:1085120,,,,"Douglas Lake, MI",,,Brown 1979b,Brown E.E. 1979b. Stray food records from New York and Michigan snakes. Am. Midl. Nat. 102(1): 200–203.,https://doi.org/10.2307/2425088
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Ranidae,Rana,Rana pipiens,Lithobates pipiens,ITIS:775108,18,Thamnophis sauritus, septentrionalis,Thamnophis sauritus septentrionalis,ITIS:1085120,,,,"Douglas Lake, MI",,,Brown 1979b,Brown E.E. 1979b. Stray food records from New York and Michigan snakes. Am. Midl. Nat. 102(1): 200–203.,https://doi.org/10.2307/2425088
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla crucifer,Pseudacris crucifer,ITIS:207303,3,Thamnophis sauritus, septentrionalis,Thamnophis sauritus septentrionalis,ITIS:1085120,,,,"Douglas Lake, MI",,,Brown 1979b,Brown E.E. 1979b. Stray food records from New York and Michigan snakes. Am. Midl. Nat. 102(1): 200–203.,https://doi.org/10.2307/2425088
Amphibian,Salamander Larvae,Chordata,Amphibia,Urodela,Salamandridae,Notophthalmus,,,ITIS:173614,2,Thamnophis sauritus, septentrionalis,Thamnophis sauritus septentrionalis,ITIS:1085120,,,,"Douglas Lake, MI",,,Brown 1979b,Brown E.E. 1979b. Stray food records from New York and Michigan snakes. Am. Midl. Nat. 102(1): 200–203.,https://doi.org/10.2307/2425088
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Hylidae,Pseudacris,,,ITIS:173523,1,Thamnophis sauritus, sauritus,Thamnophis sauritus sauritus,ITIS:1085119,,,,"Tygart Valey River, Rnadolph County, WV",,,McCoard 2008,"McCoard, Noah. (2008) ""Ecology, Reproduction and Morphometrics of the Common Ribbonsnake (Thamnophis sauritus) and Eastern
Gartersnake (Thamnophis sirtalis) in West Virginia"".. Theses, Dissertations and Capstones. Paper 310.",
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla avivoca,Dryophytes avivoca,ITIS:1098486,2,Thamnophis sauritus, sauritus,Thamnophis sauritus sauritus,ITIS:1085119,Adult ,>280,," Upper Delta Wildlife Management Area, AL",31.54,87.85,Langford et al 2011,"Langford, G., Borden, J., & Nelson, D. (2011). Ecology of the Eastern Ribbonsnake (Thamnophis sauritus) in southern Alabama with evidence of seasonal multiple broods. Herpetological Conservation and Biology, 6, 400–409.",
Amphibian,Frog Tadpoles,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla avivoca,Dryophytes avivoca,ITIS:1098486,11,Thamnophis sauritus, sauritus,Thamnophis sauritus sauritus,ITIS:1085119,Juvenile ,<280,," Upper Delta Wildlife Management Area, AL",31.54,87.85,Langford et al 2011,"Langford, G., Borden, J., & Nelson, D. (2011). Ecology of the Eastern Ribbonsnake (Thamnophis sauritus) in southern Alabama with evidence of seasonal multiple broods. Herpetological Conservation and Biology, 6, 400–409.",
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla cinerea,Dryophytes cinereus,ITIS:1095381,4,Thamnophis sauritus, sauritus,Thamnophis sauritus sauritus,ITIS:1085119,Adult ,>280,," Upper Delta Wildlife Management Area, AL",31.54,87.85,Langford et al 2011,"Langford, G., Borden, J., & Nelson, D. (2011). Ecology of the Eastern Ribbonsnake (Thamnophis sauritus) in southern Alabama with evidence of seasonal multiple broods. Herpetological Conservation and Biology, 6, 400–409.",
Amphibian,Frog Tadpoles,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla cinerea,Dryophytes cinereus,ITIS:1095381,15,Thamnophis sauritus, sauritus,Thamnophis sauritus sauritus,ITIS:1085119,Juvenile ,<280,," Upper Delta Wildlife Management Area, AL",31.54,87.85,Langford et al 2011,"Langford, G., Borden, J., & Nelson, D. (2011). Ecology of the Eastern Ribbonsnake (Thamnophis sauritus) in southern Alabama with evidence of seasonal multiple broods. Herpetological Conservation and Biology, 6, 400–409.",
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla squirella,Dryophytes squirellus,ITIS:1098561,1,Thamnophis sauritus, sauritus,Thamnophis sauritus sauritus,ITIS:1085119,Adult ,>280,," Upper Delta Wildlife Management Area, AL",31.54,87.85,Langford et al 2011,"Langford, G., Borden, J., & Nelson, D. (2011). Ecology of the Eastern Ribbonsnake (Thamnophis sauritus) in southern Alabama with evidence of seasonal multiple broods. Herpetological Conservation and Biology, 6, 400–409.",
Amphibian,Frog Tadpoles,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla squirella,Dryophytes squirellus,ITIS:1098561,3,Thamnophis sauritus, sauritus,Thamnophis sauritus sauritus,ITIS:1085119,Juvenile ,<280,," Upper Delta Wildlife Management Area, AL",31.54,87.85,Langford et al 2011,"Langford, G., Borden, J., & Nelson, D. (2011). Ecology of the Eastern Ribbonsnake (Thamnophis sauritus) in southern Alabama with evidence of seasonal multiple broods. Herpetological Conservation and Biology, 6, 400–409.",
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates clamitans,Lithobates clamitans,ITIS:775087,15,Thamnophis sauritus, sauritus,Thamnophis sauritus sauritus,ITIS:1085119,Adult ,>280,," Upper Delta Wildlife Management Area, AL",31.54,87.85,Langford et al 2011,"Langford, G., Borden, J., & Nelson, D. (2011). Ecology of the Eastern Ribbonsnake (Thamnophis sauritus) in southern Alabama with evidence of seasonal multiple broods. Herpetological Conservation and Biology, 6, 400–409.",
Amphibian,Frog Tadpoles,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates clamitans,Lithobates clamitans,ITIS:775087,30,Thamnophis sauritus, sauritus,Thamnophis sauritus sauritus,ITIS:1085119,Juvenile ,<280,," Upper Delta Wildlife Management Area, AL",31.54,87.85,Langford et al 2011,"Langford, G., Borden, J., & Nelson, D. (2011). Ecology of the Eastern Ribbonsnake (Thamnophis sauritus) in southern Alabama with evidence of seasonal multiple broods. Herpetological Conservation and Biology, 6, 400–409.",
Amphibian,Frog Tadpoles,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates gryllio,Lithobates grylio,ITIS:775091,1,Thamnophis sauritus, sauritus,Thamnophis sauritus sauritus,ITIS:1085119,Adult ,>280,," Upper Delta Wildlife Management Area, AL",31.54,87.85,Langford et al 2011,"Langford, G., Borden, J., & Nelson, D. (2011). Ecology of the Eastern Ribbonsnake (Thamnophis sauritus) in southern Alabama with evidence of seasonal multiple broods. Herpetological Conservation and Biology, 6, 400–409.",
Amphibian,Frog Tadpoles,Chordata,Amphibia,Anura,Hylidae,Hyla,,,ITIS:173498,5,Thamnophis sauritus, sauritus,Thamnophis sauritus sauritus,ITIS:1085119,Juvenile ,<280,," Upper Delta Wildlife Management Area, AL",31.54,87.85,Langford et al 2011,"Langford, G., Borden, J., & Nelson, D. (2011). Ecology of the Eastern Ribbonsnake (Thamnophis sauritus) in southern Alabama with evidence of seasonal multiple broods. Herpetological Conservation and Biology, 6, 400–409.",
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Hylidae,Hyla,,,ITIS:173498,9,Thamnophis sauritus, sauritus,Thamnophis sauritus sauritus,ITIS:1085119,Adult ,>280,," Upper Delta Wildlife Management Area, AL",31.54,87.85,Langford et al 2011,"Langford, G., Borden, J., & Nelson, D. (2011). Ecology of the Eastern Ribbonsnake (Thamnophis sauritus) in southern Alabama with evidence of seasonal multiple broods. Herpetological Conservation and Biology, 6, 400–409.",
Reptile,Lizard,Chordata,Reptilia,Squamata,Anguidae,Barisia,Barisia imbricata,Barisia imbricata,ITIS:585759,1,Thamnophis scalaris,,Thamnophis scalaris,ITIS:586137,,,,Mexico,19.19265,-99.3376,Lemos-Espinal and Ballinger 1992,"Lemos-Espinal, J., Ballinger, R. (1992). BARISIA IMBRICATA IMBRICATA (NCN). PREDATION. 1992. Herpetological Review 23(4): 117-117",
Mammal,Mouse,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus maniculatus,Peromyscus maniculatus,ITIS:180276,1,Thamnophis scalaris,,Thamnophis scalaris,ITIS:586137,,400,Female,Mexico,19.4,-99.68333,Venegas-Barrera and Manjerrez 2001,"Venegas-Barrera, C. and Manjarrez, J. THAMNOPHIS SCALARIS (Mexican Alpine Blotched Garter Snake). DIET. 2001. Herpetological Review 32(4): 266-266",
Invertebrate,Earthworm,Annelida,Clitellata,Opisthopora,,,,,ITIS:998439,1,Thamnophis scalaris,,Thamnophis scalaris,ITIS:586137,,,,Mexico,19.4,-99.68333,Venegas-Barrera and Manjerrez 2001,"Venegas-Barrera, C. and Manjarrez, J. THAMNOPHIS SCALARIS (Mexican Alpine Blotched Garter Snake). DIET. 2001. Herpetological Review 32(4): 266-266",
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates neovolcanicus,Lithobates neovolcanicus,ITIS:775102,1,Thamnophis scalaris,,Thamnophis scalaris,ITIS:586137,,416,Female,Mexico,19.37083,-100.08944,Romero et al 2003,"Romero, F., Andreu, G., Gonzalez, L. THAMNOPHIS SCALARIS (Mexican Alpine Blotched Garter Snake). DIET. 2003. Herpetological Review 34(1): 75-75",
Reptile,Lizard,Chordata,Reptilia,Squamata,Anguidae,Barisia,Barisia imbricata,Barisia imbricata,ITIS:585759,1,Thamnophis scalaris,,Thamnophis scalaris,ITIS:586137,,>40,,“El Cerrillo” campus of the Universidad Autónoma del Estado de México,19.24,99.41,Manjarrez et al 2007,"Javier Manjarrez, Crystian S. Venegas-Barrera, Tamara GarcÍa-Guadarrama. 2007.  ""ECOLOGY OF THE MEXICAN ALPINE BLOTCHED GARTER SNAKE (THAMNOPHIS SCALARIS),"" The Southwestern Naturalist, 52(2), 258-262,",https://doi.org/10.1894/0038-4909(2007)52[258:EOTMAB]2.0.CO;2
Reptile,Snake,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus triseriatus,Crotalus triseriatus,ITIS:585832,1,Thamnophis scalaris,,Thamnophis scalaris,ITIS:586137,,>40,,“El Cerrillo” campus of the Universidad Autónoma del Estado de México,19.24,99.41,Manjarrez et al 2007,"Javier Manjarrez, Crystian S. Venegas-Barrera, Tamara GarcÍa-Guadarrama. 2007.  ""ECOLOGY OF THE MEXICAN ALPINE BLOTCHED GARTER SNAKE (THAMNOPHIS SCALARIS),"" The Southwestern Naturalist, 52(2), 258-262,",https://doi.org/10.1894/0038-4909(2007)52[258:EOTMAB]2.0.CO;2
Mammal,Mouse,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus maniculatus,Peromyscus maniculatus,ITIS:180276,1,Thamnophis scalaris,,Thamnophis scalaris,ITIS:586137,,>40,,“El Cerrillo” campus of the Universidad Autónoma del Estado de México,19.24,99.41,Manjarrez et al 2007,"Javier Manjarrez, Crystian S. Venegas-Barrera, Tamara GarcÍa-Guadarrama. 2007.  ""ECOLOGY OF THE MEXICAN ALPINE BLOTCHED GARTER SNAKE (THAMNOPHIS SCALARIS),"" The Southwestern Naturalist, 52(2), 258-262,",https://doi.org/10.1894/0038-4909(2007)52[258:EOTMAB]2.0.CO;2
Invertebrate,Earthworm ,Annelida,Clitellata,Opisthopora,Lumbricidae,Lumbricus,,,ITIS:974504,2,Thamnophis scalaris,,Thamnophis scalaris,ITIS:586137,,>40,,“El Cerrillo” campus of the Universidad Autónoma del Estado de México,19.24,99.41,Manjarrez et al 2007,"Javier Manjarrez, Crystian S. Venegas-Barrera, Tamara GarcÍa-Guadarrama. 2007.  ""ECOLOGY OF THE MEXICAN ALPINE BLOTCHED GARTER SNAKE (THAMNOPHIS SCALARIS),"" The Southwestern Naturalist, 52(2), 258-262,",https://doi.org/10.1894/0038-4909(2007)52[258:EOTMAB]2.0.CO;2
Invertebrate,Earthworm ,Annelida,Clitellata,Opisthopora,Lumbricidae,Lumbricus,,,ITIS:974504,11,Thamnophis scalaris,,Thamnophis scalaris,ITIS:586137,,<40,,“El Cerrillo” campus of the Universidad Autónoma del Estado de México,19.24,99.41,Manjarrez et al 2007,"Javier Manjarrez, Crystian S. Venegas-Barrera, Tamara GarcÍa-Guadarrama. 2007.  ""ECOLOGY OF THE MEXICAN ALPINE BLOTCHED GARTER SNAKE (THAMNOPHIS SCALARIS),"" The Southwestern Naturalist, 52(2), 258-262,",https://doi.org/10.1894/0038-4909(2007)52[258:EOTMAB]2.0.CO;2
Reptile,Snake,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,Thamnophis scaliger,Thamnophis scaliger,ITIS:586138,1,Thamnophis scalaris,,Thamnophis scalaris,ITIS:586137,Adult,483,Male,Mexico,19.863,-99.803,Mocino-Deloya et al 2009,"Mocino-Deloya, E., Reguera, M., Setser, K., and Pleguezuelos, J. THAMNOPHIS SCALARIS (Mexican Alpine Blotched Garter Snake). OPHIOPHAGY. 2009. Herpetological Review 40(4): 442-443",
Reptile,Snake,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,Thamnophis eques,Thamnophis eques,ITIS:174143,1,Thamnophis scalaris,,Thamnophis scalaris,ITIS:586137,Adult,370,,Mexico,19.4,-99.68,Soria diaz et al 2015,"Soria-Diaz, L., Dominguez-Vega, H., Gomez-Ortiz, Y., Manjarrez, J., Rubio-Blanco, T. Mundo hernandez, V., and Perez-Almaza, C. THAMNOPHIS SCALARIS (Mexican Alpine Blotched Gartersnake) and T. EQUES (Mexican Gartersnake). PREDATOR-PREY RELATIONSHIPS. 2015. Herpetological Review 46(1): 109-109",
Reptile,Lizard,Chordata,Reptilia,Squamata,Phrynosomatidae,Sceloporus,,,ITIS:173864,2,Thamnophis scalaris,,Thamnophis scalaris,ITIS:586137,,272,Female,Mexico,19.3525,-98.66972,Fouquette and Rossman 1963,"Fouquette, M. J., & Rossman, D. A. (1963). Noteworthy Records of Mexican Amphibians and Reptiles in the Florida State Museum and the Texas Natural History Collection. Herpetologica, 19(3), 185–201. http://www.jstor.org/stable/3890648",
Invertebrate,Earthworm,Annelida,Clitellata,Opisthopora,Lumbricidae,Lumbricus,,,ITIS:974504,6,Thamnophis scalaris,,Thamnophis scalaris,ITIS:586137,,,,Mexico,,,de Queiroz et al Unpublished Data,"de Queiroz, A., et al. Unpublished Data",
Amphibian ,Salamander Adult,Chordata,Amphibia,Urodela,Plethodontidae,,,,ITIS:173631,15,Thamnophis scalaris,,Thamnophis scalaris,ITIS:586137,,,,Mexico,,,de Queiroz et al Unpublished Data,"de Queiroz, A., et al. Unpublished Data",
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,,,,,ITIS:173423,1,Thamnophis scalaris,,Thamnophis scalaris,ITIS:586137,,,,Mexico,,,de Queiroz et al Unpublished Data,"de Queiroz, A., et al. Unpublished Data",
Amphibian ,Frog Tadpole,Chordata,Amphibia,Anura,,,,,ITIS:173423,1,Thamnophis scalaris,,Thamnophis scalaris,ITIS:586137,,,,Mexico,,,de Queiroz et al Unpublished Data,"de Queiroz, A., et al. Unpublished Data",
Invertebrate,Leech,Annelida,Clitellata,Arhynchobdellida,,,,,ITIS:568835,6,Thamnophis scalaris,,Thamnophis scalaris,ITIS:586137,,,,Mexico,,,de Queiroz et al Unpublished Data,"de Queiroz, A., et al. Unpublished Data",
