Prey_Highest,Prey_Higher,Prey_Phylum,Prey_Class,Prey_Order,Prey_Family,Prey_Genus,Prey_Species,Prey_Species_Current,Prey_Count,Snake_Species,Snake_Subspecies,FullSpName,Age_Class,SVL(mm),Sex,Location,Latitude,Longitude,Citation,Full_Citation
Amphibian ,Frog_Adult,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates sylvaticus,Lithobates sylvaticus,2,Thamnophis_sirtalis,_pallidulus,Thamnophis_sirtalis_pallidulus,,,,United States,45.38691,-69.23184,Baldwin_et_al_2007,"Baldwin, R., Demaynadier, P., Calhoun, A. RANA SYLVATICA (Wood Frog). PREDATION. 2007. Herpetological Review 38(2): 194-195"
Amphibian ,Salamander_Adult,Chordata,Amphibia,Urodela,Ambystomatidae,Ambystoma,Ambystoma velasci,Ambystoma velasci,1,Thamnophis_cyrtopsis,_cyrtopsis,Thamnophis_cyrtopsis_cyrtopsis,Adult,592,Female,"San Jose de Gonzalez, Galeana, Nuevo Leon",24.47847,-100.48846,Banda-Leal_et_al_2014,"Banda-Leal, J., Lazcano, D., Nevarez de los Reyes, M., Aguilera, C., Luna-Pena, S. (2014). AMBYSTOMA VELASCI (Plateau Tiger Salamander). PREDATION. Herpetological Review 45(4): 675-676"
Amphibian,Frog_Adult,Chordata,Amphibia,Anura,Ranidae,Rana,,,1,Thamnophis_sirtalis,_sirtalis,Thamnophis_sirtalis_sirtalis,,,,"Big Black Mountain, Harlan County, Kentucky",,,Barbour_1950,"Barbour, R. W. 1950. The Reptiles of Big Black Mountain, Harlan County, Kentucky. Copeia, 1950(2), 100–107. https://doi.org/10.2307/1438952"
Amphibian,Salamander_Adult,Chordata,Amphibia,Urodela,Plethodontidae,Desmognathus,Desmognathus fuscus,Desmognathus fuscus,2,Thamnophis_sirtalis,_sirtalis,Thamnophis_sirtalis_sirtalis,,,,"Big Black Mountain, Harlan County, Kentucky",,,Barbour_1950,"Barbour, R. W. 1950. The Reptiles of Big Black Mountain, Harlan County, Kentucky. Copeia, 1950(2), 100–107. https://doi.org/10.2307/1438952"
Amphibian,Salamander_Adult,Chordata,Amphibia,Urodela,Plethodontidae,Plethodon,Plethodon glutinosus,Plethodon glutinosus,2,Thamnophis_sirtalis,_sirtalis,Thamnophis_sirtalis_sirtalis,,,,"Big Black Mountain, Harlan County, Kentucky",,,Barbour_1950,"Barbour, R. W. 1950. The Reptiles of Big Black Mountain, Harlan County, Kentucky. Copeia, 1950(2), 100–107. https://doi.org/10.2307/1438952"
Amphibian ,Frog_Adult,Chordata,Amphibia,Anura,Ranidae,Lithobates,,,1,Thamnophis_sirtalis,_sirtalis,Thamnophis_sirtalis_sirtalis,,,,United States,36.91426,-83.34435,Barbour_1950,"Barbour, R. W. 1950. The Reptiles of Big Black Mountain, Harlan County, Kentucky. Copeia, 1950(2), 100–107. https://doi.org/10.2307/1438952"
Amphibian ,Salamander_Adult,Chordata,Amphibia,Urodela,Plethodontidae,Desmognathus,Desmognathus fuscus,Desmognathus fuscus,2,Thamnophis_sirtalis,_sirtalis,Thamnophis_sirtalis_sirtalis,,,,United States,36.91426,-83.34435,Barbour_1950,"Barbour, R. W. 1950. The Reptiles of Big Black Mountain, Harlan County, Kentucky. Copeia, 1950(2), 100–107. https://doi.org/10.2307/1438952"
Amphibian ,Salamander_Adult,Chordata,Amphibia,Urodela,Plethodontidae,Plethodon,Plethodon glutinosus,Plethodon glutinosus,2,Thamnophis_sirtalis,_sirtalis,Thamnophis_sirtalis_sirtalis,,,,United States,36.91426,-83.34435,Barbour_1950,"Barbour, R. W. 1950. The Reptiles of Big Black Mountain, Harlan County, Kentucky. Copeia, 1950(2), 100–107. https://doi.org/10.2307/1438952"
Invertebrate,Earthworm,Annelida,Clitellata,Opisthopora,Lumbricidae,Lumbricus,,,5,Thamnophis_sirtalis,_sirtalis,Thamnophis_sirtalis_sirtalis,,,,"Big Black Mountain, Harlan County, Kentucky",,,Barbour_1950,"Barbour, R. W. 1950. The Reptiles of Big Black Mountain, Harlan County, Kentucky. Copeia, 1950(2), 100–107. https://doi.org/10.2307/1438952"
Invertebrate,Earthworm,Annelida,Clitellata,Opisthopora,,,,,5,Thamnophis_sirtalis,_sirtalis,Thamnophis_sirtalis_sirtalis,,,,United States,36.91426,-83.34435,Barbour_1950,"Barbour, R. W. 1950. The Reptiles of Big Black Mountain, Harlan County, Kentucky. Copeia, 1950(2), 100–107. https://doi.org/10.2307/1438952"
Invertebrate,Grasshopper,Arthropoda,Insecta,Orthoptera,Acrididae,,,,1,Thamnophis_sirtalis,_sirtalis,Thamnophis_sirtalis_sirtalis,,,,"Big Black Mountain, Harlan County, Kentucky",,,Barbour_1950,"Barbour, R. W. 1950. The Reptiles of Big Black Mountain, Harlan County, Kentucky. Copeia, 1950(2), 100–107. https://doi.org/10.2307/1438952"
Amphibian,Salamander_Adult,Chordata,Amphibia,Urodela,Ambystomatidae,Ambystoma,Ambystoma velasci,Ambystoma velasci,1,Thamnophis_pulchrilatus,,Thamnophis_pulchrilatus,Adult ,545,Female,"Tlaxcala, Mexico",19.32705,97.63568,Bernal_et_al_2022,"Cisneros Bernal, Antonio & Hidalgo-Licona, Luis & Medina-Rangel, Gonzalo. (2022). Clutch size and a new prey item for the Yellow-throated garter snake Thamnophis pulchrilatus (Cope, 1885) in Tlaxcala, Mexico (Squamata, Colubridae). Spixiana. 45. 26. "
Fish,Fish,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,,,1,Thamnophis_atratus,_hydrophilus,Thamnophis_atratus_hydrophilus,Adult,,Female,"Spanish Creek, King Range National Conservation Area, Humboldt County, California",40.18333,-124.25667,Bettaso_et_al_2007,"Bettaso, J., Studebaker, R., Garwood, J. THAMNOPHIS ATRATUS HYDROPHILUS (Oregon Gartersnake). DIET. 2007. Herpetological Review 38(2): 211-212"
Amphibian ,Frog_Adult,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla cinerea,Dryophytes cinereus,1,Thamnophis_sauritus,_sackenii,Thamnophis_sauritus_sackenii,,412,Female,United States,28.64711,-82.48280,Bishop_and_Farrell_1994,"Bishop, L. and Farrell, T. THAMNOPHIS SAURITUS SACKENII (Peninsula Ribbon Snake). BEHAVIOR. 1994. Herpetological Review 25(3): 127-127"
Amphibian ,Frog_Adult,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus punctatus,Anaxyrus punctatus,8,Thamnophis_validus,,Thamnophis_validus,,,,Mexico,23.40000,-109.81667,Blazquez_1996,"Blazquez, C. NERODIA VALIDA (Pacific Water Snake). PREY. 1996. Herpetological Review 27(2): 83-84"
Amphibian,Frog_Adult,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,,,1,Thamnophis_sauritus,_sauritus,Thamnophis_sauritus_sauritus,,,,"Ashe, Brunswick, Cabarrus, Jones, and Mecklenburg Counties, NC",,,Brown_1979a,"Brown E.E. 1979a. Some snake food records from the Carolinas. Brimleyana, 1: 113–124."
Amphibian,Frog_Adult,Chordata,Amphibia,Anura,Hylidae,Acris,Acris gryllus,Acris gryllus,3,Thamnophis_sauritus,_sauritus,Thamnophis_sauritus_sauritus,,,,"Ashe, Brunswick, Cabarrus, Jones, and Mecklenburg Counties, NC",,,Brown_1979a,"Brown E.E. 1979a. Some snake food records from the Carolinas. Brimleyana, 1: 113–124."
Amphibian,Frog_Adult,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla femoralis,Dryophytes femoralis,3,Thamnophis_sauritus,_sauritus,Thamnophis_sauritus_sauritus,,,,"Ashe, Brunswick, Cabarrus, Jones, and Mecklenburg Counties, NC",,,Brown_1979a,"Brown E.E. 1979a. Some snake food records from the Carolinas. Brimleyana, 1: 113–124."
Amphibian,Frog_Adult,Chordata,Amphibia,Anura,Hylidae,Pseudacris,Pseudacris brimleyi,Pseudacris brimleyi,1,Thamnophis_sauritus,_sauritus,Thamnophis_sauritus_sauritus,,,,"Ashe, Brunswick, Cabarrus, Jones, and Mecklenburg Counties, NC",,,Brown_1979a,"Brown E.E. 1979a. Some snake food records from the Carolinas. Brimleyana, 1: 113–124."
Amphibian,Frog_Adult,Chordata,Amphibia,Anura,Hylidae,Pseudacris,Pseudacris triseriata,Pseudacris triseriata,2,Thamnophis_sauritus,_sauritus,Thamnophis_sauritus_sauritus,,,,"Ashe, Brunswick, Cabarrus, Jones, and Mecklenburg Counties, NC",,,Brown_1979a,"Brown E.E. 1979a. Some snake food records from the Carolinas. Brimleyana, 1: 113–124."
Amphibian,Frog_Tadpoles,Chordata,Amphibia,Anura,Ranidae,Rana,Rana catesbeiana,Lithobates catesbeiana,1,Thamnophis_sauritus,_sauritus,Thamnophis_sauritus_sauritus,,,,"Ashe, Brunswick, Cabarrus, Jones, and Mecklenburg Counties, NC",,,Brown_1979a,"Brown E.E. 1979a. Some snake food records from the Carolinas. Brimleyana, 1: 113–124."
Amphibian,Salamander_Adult,Chordata,Amphibia,Urodela,Plethodontidae,Desmognathus,Desmognathus fuscus,Desmognathus fuscus,2,Thamnophis_sauritus,_sauritus,Thamnophis_sauritus_sauritus,,,,"Ashe, Brunswick, Cabarrus, Jones, and Mecklenburg Counties, NC",,,Brown_1979a,"Brown E.E. 1979a. Some snake food records from the Carolinas. Brimleyana, 1: 113–124."
Amphibian,Salamander_Adult,Chordata,Amphibia,Urodela,Plethodontidae,Eurycea,Eurycea bislineata,Eurycea bislineata,1,Thamnophis_sauritus,_sauritus,Thamnophis_sauritus_sauritus,,,,"Ashe, Brunswick, Cabarrus, Jones, and Mecklenburg Counties, NC",,,Brown_1979a,"Brown E.E. 1979a. Some snake food records from the Carolinas. Brimleyana, 1: 113–124."
